date,cases_new,cases_recovered
25/1/2020,4,0
26/1/2020,0,0
27/1/2020,0,0
28/1/2020,0,0
29/1/2020,3,0
30/1/2020,1,0
31/1/2020,0,0
1/2/2020,0,0
2/2/2020,0,0
3/2/2020,0,0
4/2/2020,2,0
5/2/2020,2,1
6/2/2020,2,0
7/2/2020,1,0
8/2/2020,1,1
9/2/2020,1,1
10/2/2020,1,0
11/2/2020,0,0
12/2/2020,0,0
13/2/2020,0,0
14/2/2020,1,4
15/2/2020,3,1
16/2/2020,0,0
17/2/2020,0,3
18/2/2020,0,2
19/2/2020,0,4
20/2/2020,0,0
21/2/2020,0,0
22/2/2020,0,1
23/2/2020,0,0
24/2/2020,0,2
25/2/2020,0,0
26/2/2020,0,0
27/2/2020,1,2
28/2/2020,2,0
29/2/2020,0,0
1/3/2020,4,0
2/3/2020,0,0
3/3/2020,7,0
4/3/2020,14,1
5/3/2020,5,0
6/3/2020,28,0
7/3/2020,10,1
8/3/2020,6,1
9/3/2020,18,1
10/3/2020,12,0
11/3/2020,20,1
12/3/2020,9,6
13/3/2020,39,0
14/3/2020,41,4
15/3/2020,190,5
16/3/2020,125,0
17/3/2020,120,7
18/3/2020,117,11
19/3/2020,110,15
20/3/2020,130,12
21/3/2020,153,27
22/3/2020,123,25
23/3/2020,212,20
24/3/2020,106,24
25/3/2020,172,16
26/3/2020,235,16
27/3/2020,130,44
28/3/2020,159,61
29/3/2020,150,68
30/3/2020,156,90
31/3/2020,140,58
1/4/2020,142,108
2/4/2020,208,122
3/4/2020,217,60
4/4/2020,150,88
5/4/2020,179,90
6/4/2020,131,236
7/4/2020,170,80
8/4/2020,156,166
9/4/2020,109,121
10/4/2020,118,222
11/4/2020,184,165
12/4/2020,153,113
13/4/2020,134,168
14/4/2020,170,202
15/4/2020,85,169
16/4/2020,110,119
17/4/2020,69,201
18/4/2020,54,135
19/4/2020,84,95
20/4/2020,36,98
21/4/2020,57,54
22/4/2020,50,103
23/4/2020,71,90
